"ChildID","SchoolId","Male","Race","SES","FLunch","Age","time0","time1","time2","time3","time7","time11"
"0951015C",951,0,"White",0.09,71.88,66,25.7,27.67,28.45,47.61,63.33,84.06
"0951016C",951,1,"Hispanic",-0.05,71.88,61,27.21,25.45,26.97,36.6,104.49,171.1
"0951018C",951,0,"Hispanic",-0.81,71.88,64,28.4,34.31,39.03,50.48,102.09,128.6
"0951019C",951,0,"Hispanic",-0.54,71.88,62,37.06,49.41,56.35,86.72,147.1,169.32
"0951020C",951,0,"Hispanic",-0.33,71.88,63,32.12,39.5,38.93,65.84,104.46,133.56
"0951022C",951,1,"Hispanic",-0.47,71.88,69,27.15,36.65,40.33,46.92,100.31,126.4
"0951023C",951,1,"Hispanic",-0.21,71.88,69,26.03,26.41,26.3,51.61,87.63,136.11
"0952003C",952,1,"White",-0.6,70.5,66,36.32,44.91,51.94,68.72,109.02,143.98
"0952005C",952,0,"White",-0.54,70.5,64,31.65,55.99,58.03,106.82,159.42,167.61
"0952007C",952,0,"White",-0.29,70.5,71,45.37,58.62,54.7,68.92,122.44,142.89
"0952008C",952,0,"Hispanic",-1.2,70.5,62,33.02,38.41,69.65,104.5,125.84,148.62
"0952009C",952,1,"Hispanic",-0.48,70.5,71,46.97,59.95,79.59,117.3,151.78,153.97
"0952010C",952,0,"White",-0.24,70.5,65,24.18,26.98,34.59,47.38,86.53,91.11
"0952013C",952,1,"Hispanic",-0.89,70.5,69,28.15,32.8,37.39,54.4,121.48,145.29
"0952014C",952,1,"Hispanic",-0.68,70.5,68,37.26,44.3,50.94,103.44,108.88,150.83
"0952015C",952,0,"Hispanic",-0.47,70.5,64,45.67,43.69,54.46,89.15,168.85,181.29
"0952016C",952,0,"White",-0.27,70.5,64,44.33,65.8,83.75,88.63,142.48,156.65
"0952017C",952,1,"Hispanic",-0.38,70.5,67,36.24,49.4,60.94,77.55,148.63,156.42
"0952019C",952,0,"White",-0.01,70.5,71,42.17,53.26,56.82,81.29,125.91,147.72
"0952020C",952,1,"Hispanic",0.15,70.5,71,29.44,27.64,35.46,58.75,71.94,124.92
"0952021C",952,1,"Hispanic",0.09,70.5,67,26.24,33.14,36,56.09,94.08,148.91
"0952022C",952,1,"Hispanic",-0.57,70.5,72,37.74,57.8,66.49,93.38,147.2,181.83
"0952023C",952,0,"White",-0.25,70.5,68,27.26,41.95,44.08,56.86,105.65,123.27
"0952024C",952,1,"Hispanic",-0.32,70.5,64,28.45,32.85,38.63,64.76,124.7,127.72
"1002001C",1002,1,"Hispanic",-0.9,60.28,65,34.03,35.47,39.24,58.23,137.14,129.39
"1002003C",1002,0,"White",-0.28,21.41,66,38.24,44.63,47.3,75.02,144.83,157.59
"1002004C",1002,1,"White",0.73,23.81,70,26.02,38.4,42.76,72.06,103.27,146.29
"1002005C",1002,1,"Hispanic",0.54,70.5,65,28.59,36.15,39.29,69.98,138.94,138.43
"1002006C",1002,1,"White",1.51,17.16,65,33.36,39.77,39.35,54.91,142.08,147.31
"1002008C",1002,0,"White",-0.64,21.19,61,29.13,35.32,38.99,54.42,126.57,134.99
"1002009C",1002,1,"White",0.88,12.11,61,35.74,41.04,46.23,57.33,147.55,173.65
"1002010C",1002,0,"White",0.5,0,70,67.1,81.15,120.57,132.92,147.99,181.35
"1002012C",1002,0,"White",1.39,14.37,62,63.46,61.76,89.47,113.21,182.95,187.32
"1002016C",1002,1,"White",-0.28,21.19,69,32.37,41.55,47.13,62.62,123.61,145.58
"1002017C",1002,1,"White",1.11,7,68,44.56,50.74,50.06,59.28,143.87,164.51
"1002019C",1002,1,"White",1.11,93,66,28.83,46.17,47.65,65.4,125.26,145.07
"1002022C",1002,0,"White",0.27,19.43,67,29.5,39.66,43.14,51.35,105.53,127.79
"1002023C",1002,1,"White",0.6,12.11,63,39.98,45.47,49.04,56.44,124.98,179.27
"1002024C",1002,1,"White",0.06,21.41,71,28.65,36.99,32.2,57.93,98.25,105.9
"1003001C",1003,1,"Asian",1.99,14.37,62,35.84,41.8,48.28,124.51,154.79,192.44
"1003004C",1003,0,"White",-0.04,14.37,67,27.36,40.35,50.89,135.78,178.49,182.59
"1003005C",1003,1,"White",0.14,14.37,67,35.83,50.8,55.98,91.92,167.21,188.74
"1003006C",1003,1,"White",-0.03,14.37,66,26.12,46.42,41.14,54.68,103.59,126.58
"1003007C",1003,0,"White",0.02,14.37,66,24.1,43.73,46.43,65.79,105.62,127.79
"1003008C",1003,1,"White",1.08,14.37,66,44.69,56.95,48,107.35,146.74,181.16
"1003009C",1003,0,"White",0.06,14.37,67,43.89,52.49,51.61,91.58,166.47,194.53
"1003010C",1003,0,"White",0.17,14.37,70,40.91,55.9,65.29,115.3,168.94,191.12
"1003011C",1003,0,"Asian",0.37,14.37,70,32.72,47.78,46.24,66.28,133.61,181.59
"1003013C",1003,1,"White",-0.08,14.37,66,26.05,38.55,37.48,65.87,121.65,136.44
"1003014C",1003,0,"White",1.57,14.37,60,45.63,50.58,50.01,104.15,166.31,197.23
"1003015C",1003,1,"White",1.16,14.37,63,32.88,43.33,42.03,95.45,138.45,148.15
"1003018C",1003,1,"White",0.06,14.37,60,30.13,43.8,46.89,75.74,144.4,165.34
"1003019C",1003,1,"White",0.54,14.37,67,43.04,55.03,60.48,123.61,181.06,193.36
"1003020C",1003,0,"White",0.23,14.37,66,29.71,42.17,48.48,85.57,138.89,166.36
"1003021C",1003,0,"Hispanic",-0.51,14.37,61,28.5,46.12,47.15,68.49,146.3,157.72
"1003022C",1003,1,"White",-0.69,14.37,70,27.65,37.82,61.49,113.89,125.9,158.26
"1003023C",1003,0,"Black",-0.56,14.37,66,32.55,45.28,45.96,79.05,135.88,141.2
"1008001C",1008,1,"White",-0.4,21.19,69,25.43,43.53,42.43,96.12,149.47,165.11
"1008002C",1008,1,"White",0.41,21.19,68,30.57,46.9,45,89.51,111.05,140.17
"1008003C",1008,0,"White",0.7,21.19,60,55.95,74.36,69.84,110.04,169.17,181.08
"1008004C",1008,1,"White",-0.32,21.19,63,31.58,44.1,45.68,111.93,126.25,147
"1008005C",1008,1,"White",0.8,21.19,62,35.99,56.85,52.62,113.21,160.73,182
"1008006C",1008,0,"White",-0.71,21.19,72,24.14,34.82,34.52,51.88,85.27,120.7
"1008007C",1008,0,"White",-0.34,21.19,68,47.81,98.66,124.07,129.97,173.48,181.08
"1008009C",1008,0,"Hispanic",-0.68,21.19,65,30.2,45.7,53.65,87.82,158.61,176
"1008010C",1008,1,"White",-0.3,21.19,65,30.1,38.52,38.41,65.17,113.57,154.75
"1008011C",1008,0,"White",-0.55,21.19,61,32.43,42.29,42.53,59.21,125.16,129.15
"1008012C",1008,0,"White",0.73,21.19,68,49.16,57.43,62.77,103.37,167.21,183.05
"1008013C",1008,1,"White",0.48,21.19,73,25.58,45.11,50.24,105.28,147.94,166.18
"1008015C",1008,1,"White",0,21.19,64,25.03,40.61,41.54,105.28,148.41,166.69
"1008016C",1008,0,"Hispanic",0,21.19,72,28.39,48.02,50.75,58.47,125.22,124.03
"1008017C",1008,1,"White",0.12,21.19,60,30.86,44.75,49.71,87.15,134.87,144.67
"1008019C",1008,0,"White",-0.41,21.19,66,32.37,47.89,62.58,88.75,123.18,146.08
"1008020C",1008,1,"White",0.15,21.19,68,29.96,48.91,46.32,92.44,125.83,149.25
"1008021C",1008,1,"White",0.38,21.19,60,33.29,43.55,40.63,65.94,126.18,146.62
"1008023C",1008,0,"White",-0.22,21.19,63,29.6,44.98,46.63,93.21,166.8,186.02
"1008024C",1008,1,"White",-0.49,21.19,68,29.29,46.66,46.28,78.64,126.63,146.67
"1008025C",1008,0,"White",-0.71,21.19,72,25.39,35.06,39.23,55.19,82.42,120.7
"1009001C",1009,0,"White",0.61,12.11,66,29.67,48.69,47.48,67.17,152.09,178.7
"1009002C",1009,1,"White",-0.21,12.11,61,42.15,54.08,70.36,101.71,148.5,181.41
"1009004C",1009,1,"White",1.38,12.11,63,32.75,47.23,48.97,64.52,154.84,149.63
"1009005C",1009,0,"White",1.33,12.11,64,27.63,44.2,43.24,75.88,149.8,161.48
"1009006C",1009,1,"White",0.81,12.11,63,31.04,60.24,57.05,111.41,174.96,167.25
"1009007C",1009,0,"White",-0.26,12.11,65,26.8,36.27,40.91,39.45,142.03,147.68
"1009008C",1009,1,"White",-0.04,12.11,63,28.37,51.04,50.57,103.39,158.93,167.61
"1009009C",1009,0,"White",0.65,12.11,61,34.06,43.8,52.35,77.15,139.81,174.47
"1009011C",1009,1,"White",0.64,12.11,67,38.87,50.68,54.43,88,156.3,188.99
"1009014C",1009,0,"White",0.55,12.11,61,47.02,57.07,56.62,85.13,160.23,167.5
"1009015C",1009,1,"White",-0.1,12.11,72,37.03,55.61,49.34,70.95,146.1,161.86
"1009016C",1009,1,"White",0.41,12.11,75,29.07,49.51,49.87,92.59,177.02,181.48
"1009018C",1009,0,"White",-0.45,12.11,68,35.78,50.26,52.82,86.51,145.71,147.97
"1009019C",1009,0,"White",-0.66,12.11,61,25.14,53,50.56,77.82,178.59,196.48
"1009020C",1009,1,"White",0.82,12.11,68,27.36,41.51,42.59,71.62,156.47,180.54
"1009021C",1009,1,"Hispanic",-0.45,12.11,61,25.63,34.29,46.99,60.42,127.85,165.22
"1009022C",1009,0,"White",-0.03,12.11,71,46.67,71.14,89.23,126,150.19,166.76
"1009024C",1009,1,"White",0.21,12.11,61,32.36,40.62,44.93,65.8,146.24,161.48
"1010001C",1010,1,"White",-0.14,21.41,62,24.26,26.03,28.11,29.52,63.33,69.92
"1010002C",1010,0,"Hispanic",-0.75,21.41,65,30.08,40.53,44.45,94.4,109.98,119.42
"1010003C",1010,1,"White",-0.44,21.41,70,26.48,38.11,37.8,60.46,111.32,157.6
